Symbol,Date,Open,Close,Volume
XPH,2018-12-27,5.8,5.3,6400
XPH,2018-12-28,5.3,5.1,3000
XPH,2019-01-02,5.0,5.0,3000
XPH,2019-01-03,5.0,4.8,1200
XPH,2019-01-04,4.2,4.2,100
XPH,2019-01-07,4.8,4.8,200
XPH,2019-01-08,4.9,5.0,10000
XPH,2019-01-09,5.1,5.2,800
XPH,2019-01-10,5.3,5.8,37500
XPH,2019-01-11,6.3,6.5,24200
XPH,2019-01-14,7.2,6.4,8500
XPH,2019-01-15,6.3,6.3,10500
XPH,2019-01-16,5.4,5.5,5500
XPH,2019-01-17,5.2,5.3,1300
XPH,2019-01-18,5.6,5.4,5100
XPH,2019-01-21,5.6,5.4,500
XPH,2019-01-22,5.5,5.5,1100
XPH,2019-01-23,5.2,5.2,3000
XPH,2019-01-24,5.3,5.6,1200
XPH,2019-01-25,5.7,5.3,1300
XPH,2019-01-28,5.4,5.3,0
XPH,2019-01-29,5.4,5.3,0
XPH,2019-01-30,5.4,5.3,0
XPH,2019-01-31,5.0,5.0,900
XPH,2019-02-01,5.2,5.4,3800
XPH,2019-02-11,5.8,5.9,300
XPH,2019-02-12,5.3,5.3,3200
XPH,2019-02-13,5.2,5.8,400
XPH,2019-02-14,5.6,5.6,100
XPH,2019-02-15,5.6,5.6,0
XPH,2019-02-18,5.4,5.4,2000
XPH,2019-02-19,5.1,5.3,1600
XPH,2019-02-20,5.2,5.1,2000
XPH,2019-02-21,5.2,5.2,1000
XPH,2019-02-22,5.2,5.2,21100
XPH,2019-02-25,5.7,5.2,1100
XPH,2019-02-26,5.1,5.3,1900
XPH,2019-02-27,5.5,5.5,6100
XPH,2019-02-28,6.1,5.5,700
XPH,2019-03-01,5.1,5.1,1200
XPH,2019-03-04,5.7,5.7,100
XPH,2019-03-05,5.2,5.2,300
XPH,2019-03-06,5.6,5.3,500
XPH,2019-03-07,5.5,5.1,14400
XPH,2019-03-08,5.5,5.2,3400
XPH,2019-03-11,5.1,5.2,2300
XPH,2019-03-12,5.5,5.4,7700
XPH,2019-03-13,5.4,5.3,500
XPH,2019-03-14,5.5,5.9,7900
XPH,2019-03-15,5.5,5.9,5800
XPH,2019-03-18,6.1,5.4,2700
XPH,2019-03-19,5.8,6.0,1100
XPH,2019-03-20,5.4,5.9,800
XPH,2019-03-21,5.6,5.6,100
XPH,2019-03-22,6.0,6.3,3100
XPH,2019-03-25,5.4,5.4,1100
XPH,2019-03-26,5.3,6.2,3000
XPH,2019-03-27,6.3,6.3,100
XPH,2019-03-28,6.0,5.7,2500
XPH,2019-03-29,5.6,6.0,700
XPH,2019-04-01,5.8,5.8,100
XPH,2019-04-02,5.8,5.4,1500
XPH,2019-04-03,5.9,6.0,9200
XPH,2019-04-04,5.7,5.7,300
XPH,2019-04-05,5.2,5.2,1000
XPH,2019-04-08,5.9,5.9,100
XPH,2019-04-09,5.6,5.6,100
XPH,2019-04-10,5.6,5.6,0
XPH,2019-04-11,5.9,5.9,100
XPH,2019-04-12,5.6,5.6,400
XPH,2019-04-16,5.3,5.5,2100
XPH,2019-04-17,5.3,6.2,5400
XPH,2019-04-18,5.2,5.7,4400
XPH,2019-04-19,5.2,5.4,1200
XPH,2019-04-22,5.4,5.6,5100
XPH,2019-04-23,5.5,5.5,5300
XPH,2019-04-24,5.3,5.4,7000
XPH,2019-04-25,5.4,5.3,2000
XPH,2019-04-26,5.7,5.7,100
XPH,2019-05-02,5.4,5.2,4900
XPH,2019-05-03,5.3,5.3,1000
XPH,2019-05-06,5.2,5.3,2200
XPH,2019-05-07,5.2,5.2,100
XPH,2019-05-08,5.5,5.5,100
XPH,2019-05-09,5.3,5.5,2600
XPH,2019-05-10,5.4,5.3,1300
XPH,2019-05-13,5.4,5.4,2000
XPH,2019-05-14,5.5,5.6,4800
XPH,2019-05-15,5.7,5.6,2200
XPH,2019-05-16,5.5,5.3,5900
XPH,2019-05-17,5.5,5.7,30700
XPH,2019-05-20,5.7,5.7,500
XPH,2019-05-21,5.7,6.5,20100
XPH,2019-05-22,6.6,6.6,11900
XPH,2019-05-23,6.6,6.6,17000
XPH,2019-05-24,6.9,6.9,300
XPH,2019-05-27,6.6,6.7,6800
XPH,2019-05-28,6.1,6.7,900
XPH,2019-05-29,6.5,6.7,0
XPH,2019-05-30,7.0,6.0,1700
XPH,2019-05-31,5.5,5.5,2100
XPH,2019-06-03,6.3,6.3,6400
XPH,2019-06-04,6.0,6.0,300
XPH,2019-06-05,6.5,6.5,300
XPH,2019-06-06,7.4,6.2,2700
XPH,2019-06-07,6.9,6.5,1200
XPH,2019-06-10,6.5,6.5,0
XPH,2019-06-11,6.5,6.5,0
XPH,2019-06-12,6.1,6.1,2000
XPH,2019-06-13,6.6,6.1,4800
XPH,2019-06-14,6.9,6.9,700
XPH,2019-06-17,6.9,6.9,0
XPH,2019-06-18,6.0,6.0,2600
XPH,2019-06-19,6.9,6.1,700
XPH,2019-06-20,6.3,6.2,4600
XPH,2019-06-21,6.9,6.9,100
XPH,2019-06-24,6.5,6.2,1500
XPH,2019-06-25,5.7,5.7,200
XPH,2019-06-26,5.7,5.7,0
XPH,2019-06-27,5.7,5.7,0
XPH,2019-06-28,5.7,5.7,0
XPH,2019-07-01,6.5,6.5,100
XPH,2019-07-02,6.0,6.0,800
XPH,2019-07-03,6.5,6.5,200
XPH,2019-07-04,5.6,6.5,500
XPH,2019-07-05,6.0,6.2,7400
XPH,2019-07-08,5.6,5.6,600
XPH,2019-07-09,5.9,6.4,9000
