symbol,year_report,length_report,update_date,revenue,revenue_growth,net_profit,net_profit_growth,ebit_margin,roe,roic,roa,pe,pb,eps,current_ratio,cash_ratio,quick_ratio,interest_coverage,ae,fae,net_profit_margin,gross_margin,ev,issue_share,ps,pcf,bvps,ev_per_ebitda,at,fat,acp,dso,dpo,eps_ttm,charter_capital,rtq4,charter_capital_ratio,rtq10,dividend,ebitda,ebit,le,de,ccc,rtq17,Report_Type,Symbol,id,officer_name,officer_position,position_short_name,officer_own_percent,quantity,history,company_profile,icb_name3,icb_name2,icb_name4,financial_ratio_issue_share,share_holder,share_own_percent,date,description,link,name,sub_organ_code,ownership_percent,organ_name,type
{0: 'YEG'},,,,,,,,,,,,,,,,,,,,,,,,{0: 191802035},,,,,,,,,,,{0: 1918020350000},,,,,,,,,,,Overview,YEG,{0: '77070'},,,,,,"{0: ' - Năm 2006: Tiền thân là trang thông tin điện tử www.yeah1.com chuyên cung cấp thông tin giải trí cho giới trẻ được thành lập;  - Ngày 03/12/2007: Tăng vốn điều lệ lên 02 tỷ đồng;  - Năm 2008: Tăng vốn điều lệ lên 5.333.330.000 đồng và thành lập kênh truyền hình cung cấp thông tin giải trí Yeah1TV;  - Năm 2010: Tăng vốn điều lệ lên 30.659.740.000 đồng và mở thêm kênh Yeah1Family và kênh iMovieTV;  - Ngày 20/11/2013: Tăng vốn điều lệ lên 45 tỷ đồng;  - Ngày 17/04/2014: Tăng vốn điều lệ lên 65 tỷ đồng;  - Năm 2015: Tăng vốn điều lệ lên 100 tỷ đồng và trở thành đối tác đa kênh của YouTube;  - Năm 2017: Trở thành đối tác duy nhất của Google tại Việt Nam và khu vực Đông Nam Á thông qua Công ty con Netlink, cung cấp dịch vụ quảng cáo trực tuyến cho hơn 600 trang website toàn thế giới;  - Năm 2018: Mở rộng thị trường sang Thái Lan, Philippines và Indonesia và hợp tác với Universal Music để ra mắt kênh UNI Channel chuyên về hoạt động âm nhạc cho giới trẻ;  - Ngày 02/02/2018: Tăng vốn điều lệ lên 238 tỷ đồng;  - Ngày 19/06/2018: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 26/06/2018: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 29/08/2018: Tăng vốn điều lệ lên 312.799.680.000 đồng;  - Ngày 02/11/2023: Tăng vốn điều lệ lên 762.799.680.000 đồng;  - Ngày 11/01/2024: Tăng vốn điều lệ lên 1.313.532.640.000 đồng;  - Ngày 25/07/2024: Tăng vốn điều lệ lên 1.370.014.540.000 đồng;  - Ngày 21/03/2025: Tăng vốn điều lệ lên 1.918.020.350.000 đồng;'}","{0: 'Công ty Cổ phần Tập đoàn Yeah1 (YEG) có tiền thân là trang thông tin điện tử www.yeah1.com được thành lập vào năm 2006. Công ty hoạt động chính trong lĩnh vực cung cấp dịch vụ quảng cáo truyền hình, dịch vụ quảng cáo trên nền tảng kỹ thuật số, đại lý mua bán quảng cáo và bản quyền phim truyền hình, đầu tư, sản xuất hoặc marketing cho các bộ phim chiếu rạp. YEG hiện sở hữu và vận hành 4 kênh truyền hình trả tiền phủ sóng cả nước là Yeah1 TV, Yeah1 Family, iMovie TV và UNI Channel. Bên cạnh đó, Công ty còn đóng vai trò là đại lý mua bán các quảng cáo và bản quyền phim cho 16 đài truyền hình quốc gia, địa phương và các kênh truyền hình tư nhân ở Việt Nam. YEG được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 06/2018.'}",{0: 'Truyền thông'},{0: 'Truyền thông'},{0: 'Giải trí & Truyền thông'},{0: 191802035},,,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93254847,,,,,16006480.0,,,,,,,PYN Elite Fund,0.0835,,,,,,,,
,,,2025-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93228999,,,,,2458549.0,,,,,,,Ancla Asset Limited,0.0786,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93240142,,,,,11049847.0,,,,,,,Lê Phương Thảo,0.0576,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93230211,,,,,9567215.0,,,,,,,Chế Đoàn Viên,0.04988,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93251454,,,,,3787790.0,,,,,,,Nguyễn Viết Cường,0.0497,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93234476,,,,,6027000.0,,,,,,,Đào Phúc Trí,0.0459,,,,,,,,
,,,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93242202,,,,,1433840.0,,,,,,,Macquarie Bank Limited Obu,0.0458,,,,,,,,
,,,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93238045,,,,,910000.0,,,,,,,Hồ Ngọc Tấn,0.0308,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93248132,,,,,5549830.0,,,,,,,Nguyễn Thị Khánh Hoà,0.0289,,,,,,,,
